key,name,InitInStorage,type,sourcePath,description,packagedSIze
Frost_Ore,Frost Shard,,item,RAssets/Prefabs/Items/Ores/Frost_Ore,,0.1
Verdant_Ore,Verdant Core,,item,,,
Silver_Ore,Silver Ore,,item,RAssets/Prefabs/Items/Ores/Silver_Ore,,0.1
Iron_Ore,Iron Ore,,item,RAssets/Prefabs/Items/Ores/Iron_Ore,,0.1
Copper_Ore,Copper Ore,,item,RAssets/Prefabs/Items/Ores/Copper_Ore,,0.1
Earth_Ore,Earth Ore,,item,RAssets/Prefabs/Items/Ores/Earth_Ore,,0.1
sc,SC,,currency,,,
ss,SS,,currency,,,
SSS_Forging_Stone,Tier SSS Forging Stone,,item,,,
SS_Forging_Stone,Tier SS Forging Stone,,item,,,
S_Forging_Stone,Tier S Forging Stone,,item,,,
A_Forging_Stone,Tier A Forging Stone,,item,,,
B_Forging_Stone,Tier B Forging Stone,,item,,,
C_Forging_Stone,Tier C Forging Stone,,item,RAssets/Prefabs/Items/Equipments/C_Forging_Stone,,0.1
,Water Wind Breaker VFX,,vfx,,,
,Water Trial VFX,,vfx,,,
,Rainbow Wind Breaker VFX,,vfx,,,
,Rainbow Trial VFX,,vfx,,,
,Funnel Cannon Wind Breaker VFX,,vfx,,,
,Funnel Cannon Trial VFX,,vfx,,,
,Pixel Style Wind Breaker VFX Orange,,vfx,,,
,Pixel Style Wind Breaker VFX Purple,,vfx,,,
,Pixel Style Wind Breaker VFX Green,,vfx,,,
,Pixel Style Wind Breaker VFX Blue,,vfx,,,
,Pixel Style Wind Breaker VFX Yellow,,vfx,,,
,Pixel Style Wind Breaker VFX Red,,vfx,,,
,Pixel Style Trail VFX Orange,,vfx,,,
,Pixel Style Trail VFX Purple,,vfx,,,
,Pixel Style Trail VFX Green,,vfx,,,
,Pixel Style Trail VFX Blue,,vfx,,,
,Pixel Style Trail VFX Yellow,,vfx,,,
,Pixel Style Trail VFX Red,,vfx,,,
,Flame Trail VFX,,vfx,,,
,Flame Wind Breaker VFX,,vfx,,,
,Flame Trail VFX,,vfx,,,
,Goofy Head Orange,,head,,,
,Goofy Head Purple,,head,,,
#,Goofy Head Green,,head,,,
,Goofy Head Blue,,head,,,
,Goofy Head Yellow,,head,,,
,Goofy Head Red,,head,,,
#,Baguette Blade Temporary,,arm,,,0.1
#,Sausage Blade Temporary,,arm,,,0.1
#,Katana Blade Temporary,,arm,,,0.1
#,Lolipop Blade Temporary,,arm,,,0.1
Equip_3_DefaultWeapon,Hilt Temporary,,arm,RAssets/Prefabs/Items/Equipments/Equip_3_DefaultWeapon,,0.1
